Timestamp,Department,Energy_Used_kWh,Renewable_Energy_Percentage,Waste_Generated_kg,Recycling_Percentage,Water_Usage_Liters,Efficiency_Score,CO2_Emissions_kg,Sustainable_Transport_Percentage,Non_Renewable_Energy_Percentage
10/06/2023,Water Usage,0.0,0.0,0.0,0.0,2676.01,76.84,0.0,0.0,100.0
16/03/2023,Green Initiatives,0.0,0.0,0.0,0.0,0.0,69.5,0.0,0.0,100.0
09/10/2023,Transport,0.0,0.0,0.0,0.0,0.0,0.0,75.13,66.7,100.0
15/01/2024,Green Initiatives,0.0,0.0,0.0,0.0,0.0,97.64,0.0,0.0,100.0
24/01/2024,Transport,0.0,0.0,0.0,0.0,0.0,0.0,273.91,42.6,100.0
12/12/2023,Green Initiatives,0.0,0.0,0.0,0.0,0.0,84.63,0.0,0.0,100.0
11/04/2023,Transport,0.0,0.0,0.0,0.0,0.0,0.0,151.86,74.91,100.0
24/04/2023,Transport,0.0,0.0,0.0,0.0,0.0,0.0,58.37,25.76,100.0
29/10/2023,Transport,0.0,0.0,0.0,0.0,0.0,0.0,183.1,16.76,100.0
16/06/2023,Green Initiatives,0.0,0.0,0.0,0.0,0.0,63.91,0.0,0.0,100.0
16/09/2023,Water Usage,0.0,0.0,0.0,0.0,2612.34,97.52,0.0,0.0,100.0
12/09/2023,Energy,3145.66,55.75,0.0,0.0,0.0,0.0,0.0,0.0,44.25
31/08/2023,Water Usage,0.0,0.0,0.0,0.0,17338.96,57.29,0.0,0.0,100.0
03/02/2024,Water Usage,0.0,0.0,0.0,0.0,15796.57,67.77,0.0,0.0,100.0
26/12/2023,Energy,4699.06,47.65,0.0,0.0,0.0,0.0,0.0,0.0,52.35
27/05/2023,Waste Management,0.0,0.0,72.28,67.37,0.0,0.0,0.0,0.0,100.0
22/09/2023,Energy,3169.66,82.86,0.0,0.0,0.0,0.0,0.0,0.0,17.14
25/07/2023,Transport,0.0,0.0,0.0,0.0,0.0,0.0,234.44,14.97,100.0
11/04/2023,Green Initiatives,0.0,0.0,0.0,0.0,0.0,85.33,0.0,0.0,100.0
14/01/2023,Energy,1349.93,64.06,0.0,0.0,0.0,0.0,0.0,0.0,35.94
07/05/2023,Waste Management,0.0,0.0,331.21,71.7,0.0,0.0,0.0,0.0,100.0
02/03/2023,Water Usage,0.0,0.0,0.0,0.0,15006.2,77.22,0.0,0.0,100.0
08/10/2023,Energy,3217.23,24.99,0.0,0.0,0.0,0.0,0.0,0.0,75.01
29/10/2023,Water Usage,0.0,0.0,0.0,0.0,11418.78,66.37,0.0,0.0,100.0
04/02/2024,Transport,0.0,0.0,0.0,0.0,0.0,0.0,177.35,71.81,100.0
07/11/2023,Energy,4387.87,41.39,0.0,0.0,0.0,0.0,0.0,0.0,58.61
24/03/2023,Transport,0.0,0.0,0.0,0.0,0.0,0.0,411.64,72.45,100.0
24/08/2023,Transport,0.0,0.0,0.0,0.0,0.0,0.0,442.86,68.69,100.0
25/06/2023,Water Usage,0.0,0.0,0.0,0.0,19464.74,64.03,0.0,0.0,100.0
21/09/2023,Energy,1813.96,60.18,0.0,0.0,0.0,0.0,0.0,0.0,39.82
23/02/2023,Green Initiatives,0.0,0.0,0.0,0.0,0.0,87.68,0.0,0.0,100.0
05/04/2023,Waste Management,0.0,0.0,150.3,51.86,0.0,0.0,0.0,0.0,100.0
19/09/2023,Transport,0.0,0.0,0.0,0.0,0.0,0.0,104.26,68.12,100.0
08/10/2023,Water Usage,0.0,0.0,0.0,0.0,7552.43,55.04,0.0,0.0,100.0
03/01/2023,Waste Management,0.0,0.0,316.88,57.78,0.0,0.0,0.0,0.0,100.0
21/11/2023,Green Initiatives,0.0,0.0,0.0,0.0,0.0,99.37,0.0,0.0,100.0
24/04/2023,Transport,0.0,0.0,0.0,0.0,0.0,0.0,466.89,68.08,100.0
13/01/2023,Green Initiatives,0.0,0.0,0.0,0.0,0.0,71.88,0.0,0.0,100.0
21/06/2023,Energy,3994.05,81.77,0.0,0.0,0.0,0.0,0.0,0.0,18.230000000000004
05/05/2023,Transport,0.0,0.0,0.0,0.0,0.0,0.0,250.68,77.93,100.0
30/03/2023,Transport,0.0,0.0,0.0,0.0,0.0,0.0,357.71,45.27,100.0
27/12/2023,Green Initiatives,0.0,0.0,0.0,0.0,0.0,96.17,0.0,0.0,100.0
27/10/2023,Transport,0.0,0.0,0.0,0.0,0.0,0.0,242.32,62.62,100.0
16/02/2023,Green Initiatives,0.0,0.0,0.0,0.0,0.0,88.27,0.0,0.0,100.0
10/07/2023,Green Initiatives,0.0,0.0,0.0,0.0,0.0,86.24,0.0,0.0,100.0
04/06/2023,Energy,579.02,44.43,0.0,0.0,0.0,0.0,0.0,0.0,55.57
09/11/2023,Transport,0.0,0.0,0.0,0.0,0.0,0.0,267.53,37.69,100.0
02/01/2024,Waste Management,0.0,0.0,343.8,26.68,0.0,0.0,0.0,0.0,100.0
04/12/2023,Energy,3330.4,75.25,0.0,0.0,0.0,0.0,0.0,0.0,24.75
24/04/2023,Transport,0.0,0.0,0.0,0.0,0.0,0.0,303.33,18.15,100.0
01/11/2023,Water Usage,0.0,0.0,0.0,0.0,3701.43,86.64,0.0,0.0,100.0
15/02/2024,Green Initiatives,0.0,0.0,0.0,0.0,0.0,69.52,0.0,0.0,100.0
13/04/2023,Transport,0.0,0.0,0.0,0.0,0.0,0.0,252.56,38.74,100.0
02/12/2023,Transport,0.0,0.0,0.0,0.0,0.0,0.0,384.25,52.24,100.0
12/07/2023,Water Usage,0.0,0.0,0.0,0.0,17510.13,91.54,0.0,0.0,100.0
01/11/2023,Green Initiatives,0.0,0.0,0.0,0.0,0.0,97.2,0.0,0.0,100.0
13/05/2023,Energy,1280.64,41.91,0.0,0.0,0.0,0.0,0.0,0.0,58.09
26/04/2023,Waste Management,0.0,0.0,68.34,65.23,0.0,0.0,0.0,0.0,100.0
18/07/2023,Green Initiatives,0.0,0.0,0.0,0.0,0.0,67.74,0.0,0.0,100.0
15/01/2024,Energy,4758.36,53.36,0.0,0.0,0.0,0.0,0.0,0.0,46.64
30/12/2023,Waste Management,0.0,0.0,324.62,65.16,0.0,0.0,0.0,0.0,100.0
04/03/2023,Waste Management,0.0,0.0,326.42,33.91,0.0,0.0,0.0,0.0,100.0
03/09/2023,Energy,2845.24,15.83,0.0,0.0,0.0,0.0,0.0,0.0,84.17
